id,value
27329329,0.0
15243791,0.0
30904063,0.0
11410125,0.16519999999999999
24567828,0.5869
24918640,0.2932
24918641,0.1671
24959218,0.2488
24959219,0.272
24959220,0.2502
24959229,0.4391
25048432,0.5041
25048443,0.48869999999999997
25048467,0.13449999999999998
25099690,0.30010000000000003
25099693,0.5226
25099695,0.5357
25576111,0.4572
25587195,0.0012
25762351,0.35109999999999997
25762354,0.5654
25762360,0.5502
25763042,0.46869999999999995
25763043,0.484
25763044,0.537
25763045,0.46759999999999996
25774334,0.779
25916209,0.1923
25916210,0.19879999999999998
25916222,0.1862
25997028,0.2339
25997029,0.32420000000000004
25997033,0.2371
25997037,0.22329999999999997
4749770,0.0016
4751796,0.061799999999999994
4751797,0.0118
4799550,0.0
26296332,0.2967
26399971,0.18350000000000002
26664143,0.2904
27637808,0.8353
4799552,0.0212
4799557,0.0179
4799694,0.0
4807643,0.0043
4807644,0.0028000000000000004
4833713,0.0039000000000000003
4911506,0.032400000000000005
27643823,0.9881
27643824,0.9840000000000001
28286145,0.0
31098865,0.30210000000000004
33485852,0.2857
35898989,0.6598
39690208,0.0
46627282,0.0
46627283,0.0
60194996,0.0
4955635,0.0216
5059927,0.0
60194997,0.0
60194998,0.0
5063447,0.0058
61908121,0.0
68455574,0.8987999999999999
68455576,0.0
68455592,0.8781
68455594,0.0
95222770,0.41359999999999997
95222778,0.2874
95222782,0.2535
123531485,0.8493999999999999
125696203,0.2133
125696208,0.20379999999999998
125696210,0.2764
125696211,0.2133
125696212,0.2751
125696213,0.2842
125696214,0.255
125696216,0.20980000000000001
125696217,0.2432
125696218,0.20980000000000001
125696221,0.17559999999999998
125696223,0.1681
125696225,0.1999
125696229,0.3111
126237137,0.0
126237140,0.0
126237146,0.0
126237153,0.0
126237159,0.07780000000000001
126237160,0.3347
126244902,0.0
131746844,0.34850000000000003
144503693,0.7715000000000001
147634328,0.0
147634329,0.0
5363784,0.0077
147634334,0.0
5363808,0.048600000000000004
5836225,0.0019
5836238,0.0
5836239,0.0
8037981,0.0
150363618,0.8422
150363639,0.7444
8053612,0.0038
163078277,0.37
8053613,0.008
9935008,0.0
163224925,0.51
163224927,0.5275
9952194,0.0
9952196,0.0
184132448,0.8549
9952198,0.0
9952199,0.0
9952201,0.0024
9952203,0.0
9952204,0.0
188499736,0.0
9952205,0.0
9952207,0.0
9952208,0.0
9952210,0.0
9952212,0.0
9952214,0.0
9952216,0.010700000000000001
9952218,0.0
9952219,0.0
11804980,0.009000000000000001
11805242,0.0052
11805302,0.0
11806267,0.0
15806588,0.0014000000000000002
15806589,0.0
15806591,0.0019
17504360,0.0045000000000000005
22801798,0.0
22801799,0.0
24540431,0.0032
24540432,0.0
25510571,0.0
25510586,0.022400000000000003
25510594,0.0
25510598,0.0315
25510606,0.0
25689230,0.019
28262201,0.0
28262202,0.0003
28265628,0.0
28350918,0.0
28350919,0.0
28350921,0.0
28350922,0.0
28350934,0.0
28351475,0.0
4524860,0.0
188989883,0.0821
188989888,0.0
188991024,0.0
188991030,0.0
28370071,0.0269
28370072,0.0063
4524862,0.0104
28470317,0.0182
28510673,0.0
188991042,0.0
28513285,0.0
4725834,0.0
4997606,0.0
4997607,0.0
5363785,0.003
5836226,0.0002
5842152,0.0217
5891750,0.022799999999999997
5896198,0.0
6967920,0.0025
7826089,0.0
7921115,0.0003
7921117,0.0207
8038015,0.0
8038016,0.0
8038017,0.0
8059749,0.0
4521223,0.0547
4725836,0.0049
4734933,0.0
4734936,0.0
5048526,0.0319
8059751,0.0
8059753,0.0005
8059756,0.0006
8059765,0.0
8059766,0.0
8059767,0.0
8059768,0.005600000000000001
8059772,0.0
8069638,0.0
8069639,0.0
8610404,0.0
8610406,0.0
9222165,0.0
9222168,0.0
9337645,0.0466
9337646,0.0
9935004,0.0
9935005,0.0
9935006,0.0
9952221,0.0
5896177,0.0
9952224,0.0
5944857,0.004
5944860,0.0
9955297,0.054299999999999994
9955298,0.0045000000000000005
9955299,0.0063
9955300,0.0
9955302,0.0
10477333,0.006
10948637,0.0
10948638,0.0174
10948639,0.0006
15806600,0.0
28707135,0.0
189048853,0.6947
15806746,0.0
216189338,0.0
5944861,0.0
219205846,0.23879999999999998
219205847,0.2615
219205848,0.24170000000000003
22932078,0.0012
28707136,0.0
5944862,0.0
33909028,0.0274
33909029,0.0194
